node,Ki,Ci,bi,sum
PUT.R,88,84,88,260
PCUN.R,90,80,89,259
PCUN.L,89,76,90,255
THA.R,78,88,87,253
THA.L,83,83,85,251
MOG.L,86,67,84,237
SOG.R,87,58,86,231
SPG.L,79,70,82,231
PUT.L,84,61,81,226
SFG.R,77,73,76,226
PreCG.R,69,74,78,221
SFGorb.R,67,77,77,221
ITG.R,81,56,79,216
CAU.R,58,82,73,213
SMA.L,68,72,72,212
HIP.R,74,55,80,209
ITG.L,80,54,74,208
SMA.R,75,69,63,207
SOG.L,82,41,83,206
SFGorb.L,62,68,75,205
INS.L,71,64,70,205
CAU.L,55,85,64,204
SFG.L,65,59,71,195
PreCG.L,61,62,67,190
CUN.R,85,39,66,190
SFGmorb.R,36,89,58,183
REC.L,39,75,68,182
MTG.L,70,40,69,179
TPOmid.R,42,81,56,179
MTG.R,72,44,60,176
SPG.R,56,65,54,175
IFGtri.L,64,45,65,174
PoCG.R,49,60,61,170
DCG.L,52,57,55,164
MOG.R,66,38,59,163
TPOmid.L,54,66,43,163
REC.R,25,87,49,161
PCL.L,32,86,41,159
PoCG.L,63,46,46,155
SFGmed.R,47,63,44,154
CAL.L,73,30,47,150
CAL.R,76,24,48,148
STG.L,59,37,50,146
IFGtri.R,41,50,52,143
MFG.L,53,27,62,142
SFGmorb.L,29,71,42,142
STG.R,35,51,53,139
TPOsup.L,51,32,51,134
SFGmed.L,50,36,45,131
MFG.R,37,34,57,128
DCG.R,46,42,37,125
HIP.L,57,35,31,123
AMYG.R,7,79,28,114
CUN.L,60,11,36,107
TPOsup.R,26,52,29,107
IFGorb.R,34,31,40,105
IFGorb.L,48,21,35,104
INS.R,31,48,25,104
MFGorb.L,30,49,24,103
FFG.R,43,17,39,99
MFGorb.R,9,78,10,97
FFG.L,44,14,38,96
OLF.R,19,47,27,93
ACG.R,33,26,33,92
LING.L,38,22,32,92
HES.R,1,90,1,92
IPL.L,45,8,34,87
AMYG.L,14,53,19,86
LING.R,40,13,30,83
ACG.L,21,23,26,70
PHG.L,18,33,16,67
SMG.R,28,15,21,64
ROL.L,24,9,23,56
ANG.R,27,7,22,56
IOG.L,20,18,18,56
PCG.L,11,29,14,54
ROL.R,23,12,17,52
PHG.R,10,25,15,50
PAL.R,2,43,4,49
PCL.R,16,20,12,48
ANG.L,22,5,20,47
IFGoper.L,15,10,13,38
PAL.L,5,28,5,38
IPL.R,17,6,11,34
OLF.L,3,16,7,26
HES.L,4,19,2,25
SMG.L,13,3,8,24
PCG.R,8,1,9,18
IOG.R,12,2,3,17
IFGoper.R,6,4,6,16
