node,Ki,Ci,bi,sum
PUT.R,88,75,90,253
THA.R,86,78,88,252
THA.L,80,80,87,247
SMA.L,85,70,85,240
PCUN.L,90,63,86,239
PCUN.R,89,68,82,239
SOG.R,87,59,89,235
IFGorb.L,73,74,84,231
PoCG.L,75,65,79,219
SOG.L,78,54,83,215
MOG.L,74,64,76,214
TPOmid.R,64,66,81,211
PreCG.R,69,62,77,208
PreCG.L,71,55,80,206
SFG.R,76,56,74,206
INS.L,70,72,64,206
PUT.L,67,53,78,198
ITG.R,84,40,73,197
REC.L,44,77,75,196
INS.R,65,73,56,194
DCG.L,83,46,61,190
PoCG.R,60,57,72,189
LING.L,57,60,71,188
SFGorb.L,49,69,70,188
REC.R,40,79,69,188
MTG.L,72,48,62,182
DCG.R,82,42,58,182
MTG.R,77,34,67,178
SFGorb.R,55,52,68,175
SFGmed.L,79,36,51,166
CUN.L,81,25,57,163
CAU.R,22,76,63,161
IFGtri.L,58,43,60,161
HIP.L,48,49,59,156
IFGorb.R,53,35,66,154
FFG.L,56,37,54,147
SFGmorb.L,12,90,43,145
TPOmid.L,34,58,52,144
SMA.R,68,30,45,143
LING.R,35,71,36,142
ITG.L,59,32,50,141
CAU.L,28,47,65,140
CAL.L,63,22,55,140
SFG.L,47,45,48,140
IPL.L,42,51,47,140
IFGtri.R,50,31,49,130
SFGmorb.R,8,88,34,130
HIP.R,39,44,44,127
PCL.L,41,50,35,126
AMYG.L,10,89,23,122
MOG.R,62,9,46,117
CAL.R,51,24,42,117
CUN.R,66,12,39,117
SFGmed.R,52,28,37,117
IPL.R,46,41,28,115
FFG.R,61,21,32,114
STG.L,54,18,40,112
PHG.L,16,67,26,109
ROL.R,33,39,33,105
AMYG.R,7,87,8,102
ANG.R,45,15,41,101
SMG.R,36,38,27,101
MFGorb.R,6,86,7,99
PAL.R,5,85,6,96
PAL.L,4,84,5,93
STG.R,13,61,18,92
OLF.R,25,27,38,90
OLF.L,3,83,4,90
SPG.L,20,16,53,89
MFG.R,38,20,30,88
HES.L,2,82,3,87
IFGoper.R,32,23,31,86
ACG.R,43,14,29,86
HES.R,1,81,2,84
ANG.L,30,29,24,83
SPG.R,14,33,21,68
PCL.R,29,19,20,68
TPOsup.R,19,26,22,67
IOG.L,26,3,25,54
IOG.R,37,1,13,51
IFGoper.L,18,13,19,50
PCG.L,27,11,12,50
PHG.R,15,17,17,49
ROL.L,31,2,15,48
ACG.L,24,10,11,45
SMG.L,23,8,10,41
MFG.L,17,6,14,37
PCG.R,21,7,9,37
TPOsup.L,11,5,16,32
MFGorb.L,9,4,1,14
