region,value
PreCG.L,1.47542186
PreCG.R,1.86714787
SFG.L,1.587416578
SFG.R,1.182102483
SFGorb.L,1.742805169
SFGorb.R,1.251757765
MFG.L,0.464870974
MFG.R,0.859137623
MFGorb.L,0.511777976
MFGorb.R,0.189549746
IFGoper.L,0.461589431
IFGoper.R,0.569409297
IFGtri.L,1.387554285
IFGtri.R,0.623588882
IFGorb.L,0.578872853
IFGorb.R,0.449622753
ROL.L,0.495455428
ROL.R,0.542180375
SMA.L,0.388432048
SMA.R,0.416440096
OLF.L,0.060526819
OLF.R,0.225890126
SFGmed.L,0.858167125
SFGmed.R,0.179495854
SFGmorb.L,0.666194969
SFGmorb.R,0.397883478
REC.L,0.177866861
REC.R,0.138448444
INS.L,2.233933139
INS.R,1.615816568
ACG.L,0.746987949
ACG.R,0.598556122
DCG.L,4.38186375
DCG.R,5.016239763
PCG.L,0.295199078
PCG.R,0.226558621
HIP.L,3.170593128
HIP.R,2.932520931
PHG.L,1.971966914
PHG.R,0.990157568
AMYG.L,0.025569094
AMYG.R,0.013436096
CAL.L,1.383949194
CAL.R,1.772903985
CUN.L,0.609727606
CUN.R,0.502465805
LING.L,1.551257748
LING.R,1.03741897
SOG.L,0.398796825
SOG.R,0.498007702
MOG.L,0.812186513
MOG.R,0.697393148
IOG.L,0.045520236
IOG.R,0.155193224
FFG.L,1.947101641
FFG.R,1.753346875
PoCG.L,2.360471228
PoCG.R,2.853826364
SPG.L,1.077521482
SPG.R,0.644148505
IPL.L,0.593950851
IPL.R,0.302944086
SMG.L,0.232841031
SMG.R,0.46139644
ANG.L,0.983770214
ANG.R,1.256294754
PCUN.L,1.288486831
PCUN.R,1.034432369
PCL.L,0.26739544
PCL.R,0.113091617
CAU.L,2.505193458
CAU.R,2.575119061
PUT.L,1.380788383
PUT.R,1.11801464
PAL.L,0.095317552
PAL.R,0.031283608
THA.L,1.523377965
THA.R,2.077066454
HES.L,0.044302409
HES.R,0.039666107
STG.L,1.40486043
STG.R,1.5301207
TPOsup.L,0.014662093
TPOsup.R,0.055938513
MTG.L,1.691527221
MTG.R,1.724930148
TPOmid.L,0.002264486
TPOmid.R,0.02334055
ITG.L,0.911808613
ITG.R,0.645571032
