Region,control,occult,color
PreCG.L,1.061148702,1.052855102,0
PreCG.R,1.551259035,0.835662607,0
SFG.L,1.202870542,0.431849877,0
SFG.R,1.020878726,0.361350848,0
SFGorb.L,0.508158433,0.797559412,0
SFGorb.R,0.543701431,0.403637812,0
MFG.L,1.51480212,0.760003332,0
MFG.R,1.055883743,0.910821862,0
MFGorb.L,0.035223243,0.162256485,0
MFGorb.R,0.253508757,0.094413961,0
IFGoper.L,0.142018533,0.259829884,0
IFGoper.R,0.173140653,0.135262211,0
IFGtri.L,0.456897936,0.357598446,0
IFGtri.R,0.217775253,0.992420645,0
IFGorb.L,0.848139149,0.654061634,0
IFGorb.R,0.605987417,0.93894609,0
ROL.L,0.416884919,0.694934487,0
ROL.R,0.32399922,0.906727233,0
SMA.L,0.314175733,0.222780137,0
SMA.R,0.597433971,0.249291903,0
OLF.L,0.768503064,1.141049802,0
OLF.R,1.479452921,1.076664742,0
SFGmed.L,0.698070282,1.254895963,0
SFGmed.R,0.440069215,0.313161118,0
SFGmorb.L,0.293457519,0.223033982,0
SFGmorb.R,0.540685546,0.541017311,0
REC.L,0.576093095,0.739121823,0
REC.R,0.386749676,0.378915352,0
INS.L,2.183491763,1.854550976,2
INS.R,2.058245767,3.159578465,1
ACG.L,1.736240332,3.609440242,3
ACG.R,1.006705555,1.508123737,0
DCG.L,3.30151054,3.525084263,1
DCG.R,3.485791675,3.930475716,1
PCG.L,0.757286114,0.310579221,0
PCG.R,0.296954179,0.124087466,0
HIP.L,2.317807056,1.162431028,2
HIP.R,4.290446671,2.19811592,1
PHG.L,1.125005656,0.528182291,0
PHG.R,0.769314112,0.536340774,0
AMYG.L,0.328420063,0.288179977,0
AMYG.R,0.230121635,0.159377179,0
CAL.L,1.980912508,1.909666569,2
CAL.R,2.40299283,1.538355182,2
CUN.L,0.714500638,0.613224373,0
CUN.R,0.499326744,0.358991748,0
LING.L,2.415066301,2.430804429,1
LING.R,1.929100779,1.988562913,3
SOG.L,1.151718539,0.489999206,0
SOG.R,0.737392542,0.271524212,0
MOG.L,2.194545851,2.985982093,1
MOG.R,0.328476707,1.113539202,0
IOG.L,0.25994591,0.246205117,0
IOG.R,0.156280151,0.857813076,0
FFG.L,1.379843305,1.570689026,0
FFG.R,1.680166899,1.866068888,0
PoCG.L,1.906218499,1.144891252,0
PoCG.R,1.247296933,1.371960517,0
SPG.L,0.234845429,0.270385774,0
SPG.R,0.24968096,0.461889474,0
IPL.L,0.2686032,0.645672377,0
IPL.R,0.09976344,0.111535957,0
SMG.L,0.058120045,0.317163958,0
SMG.R,0.36515052,0.426581516,0
ANG.L,0.098104441,0.272690006,0
ANG.R,0.77073314,1.306435025,0
PCUN.L,4.231397765,3.843007534,1
PCUN.R,4.27708416,3.694991821,1
PCL.L,0.347577864,0.508106102,0
PCL.R,0.4719393,0.204662442,0
CAU.L,1.962218129,2.529278449,3
CAU.R,1.46910784,1.105796595,0
PUT.L,1.245009949,1.288139327,0
PUT.R,1.139646569,1.192025952,0
PAL.L,0.041117304,0.057158511,0
PAL.R,0.19962055,0.064502905,0
THA.L,0.761639122,1.032916174,0
THA.R,2.202659489,1.275840057,2
HES.L,0.060517761,0.064488101,0
HES.R,0.115624577,0.109346481,0
STG.L,1.432067877,2.380699933,3
STG.R,1.551214374,1.551325259,0
TPOsup.L,0.554957777,0.388496321,0
TPOsup.R,0.583963522,0.678072317,0
MTG.L,1.02326193,1.619135894,0
MTG.R,0.884507765,1.507518494,0
TPOmid.L,0.003865846,0.015419617,0
TPOmid.R,0.028571447,0.040866852,0
ITG.L,0.208601933,0.440820291,0
ITG.R,0.16073089,0.052081364,0
