network_cost,Gamma,Lambda,Sigma,Eglob,Group
0.1,2.749560692,1.11803191,2.458236651,0.441339992,control
0.1,2.929873994,1.129291981,2.59251564,0.43485851,occultCP
0.11,2.599403744,1.118495482,2.32286315,0.459114024,control
0.11,2.791000894,1.124049212,2.481315057,0.446584131,occultCP
0.12,2.503274954,1.115690653,2.243203925,0.473680816,control
0.12,2.71864169,1.123294294,2.418132801,0.451220003,occultCP
0.13,2.392063783,1.109557729,2.155024483,0.486541407,control
0.13,2.704084566,1.123458529,2.404760235,0.452952559,occultCP
0.14,2.342280462,1.109466099,2.1098897,0.491728672,control
0.14,2.707608651,1.123617992,2.407641066,0.452952559,occultCP
0.15,2.322427031,1.107687797,2.094915641,0.494678735,control
0.15,2.693061985,1.123708696,2.394453914,0.452952559,occultCP
0.16,2.312735066,1.107132424,2.086668085,0.495731586,control
0.16,2.706037437,1.124337319,2.404355561,0.452952559,occultCP
0.17,2.308463645,1.106763447,2.083587291,0.495731586,control
0.17,2.71302538,1.124071646,2.411196934,0.452952559,occultCP
0.18,2.307539868,1.106655623,2.083021107,0.495731586,control
0.18,2.723429689,1.123873814,2.42118534,0.452952559,occultCP
0.19,2.307675486,1.106906948,2.082514528,0.495731586,control
0.19,2.708418035,1.124019106,2.407295735,0.452952559,occultCP
0.2,2.310025674,1.106768891,2.085013614,0.495731586,control
0.2,2.706839045,1.123306575,2.407399742,0.452952559,occultCP
0.21,2.303457056,1.106745714,2.079045899,0.495731586,control
0.21,2.695299648,1.124090087,2.395576817,0.452952559,occultCP
0.22,2.306181529,1.10664436,2.081673962,0.495731586,control
0.22,2.696784122,1.123986771,2.397176234,0.452952559,occultCP
0.23,2.305609095,1.107085897,2.080352553,0.495731586,control
0.23,2.698834896,1.12348609,2.400115569,0.452952559,occultCP
0.24,2.3048255,1.106738001,2.080213375,0.495731586,control
0.24,2.698349063,1.123903989,2.398561811,0.452952559,occultCP
0.25,2.313973352,1.107244562,2.087592462,0.495731586,control
0.25,2.710087092,1.12355094,2.409893421,0.452952559,occultCP
0.26,2.309800418,1.106767364,2.084723692,0.495731586,control
0.26,2.70445947,1.124268603,2.403240439,0.452952559,occultCP
0.27,2.309483617,1.106900802,2.08409713,0.495731586,control
0.27,2.692107731,1.123957572,2.393058546,0.452952559,occultCP
0.28,2.312508254,1.106927869,2.086850907,0.495731586,control
0.28,2.705839293,1.124336652,2.404405881,0.452952559,occultCP
0.29,2.311764728,1.106925365,2.086227315,0.495731586,control
0.29,2.697453259,1.124031032,2.39767765,0.452952559,occultCP
0.3,2.307320791,1.10673602,2.082669846,0.495731586,control
0.3,2.68671555,1.12388893,2.388217137,0.452952559,occultCP
