node,Ki,Ci,bi,sum
PCUN.L,89,89,90,268
PUT.R,90,85,89,264
PCUN.R,88,87,88,263
THA.L,86,86,83,255
PUT.L,84,79,87,250
THA.R,83,83,84,250
SMA.L,81,82,86,249
SOG.L,87,71,85,243
SOG.R,85,73,82,240
IFGtri.L,80,74,80,234
CAU.R,64,88,81,233
IFGtri.R,75,80,75,230
CAL.L,79,72,77,228
ITG.R,82,67,78,227
SFGmed.L,68,81,73,222
PoCG.R,70,69,79,218
SFGorb.L,67,76,72,215
CAU.L,59,84,71,214
HIP.R,77,61,74,212
INS.L,65,68,68,201
SFG.R,61,77,62,200
SPG.L,60,59,76,195
MOG.L,78,47,67,192
SFG.L,51,75,63,189
ITG.L,71,52,65,188
IFGorb.L,76,48,64,188
IFGorb.R,66,54,66,186
PreCG.L,55,60,70,185
SFGorb.R,48,78,59,185
PreCG.R,63,51,69,183
MTG.L,74,44,61,179
HIP.L,58,58,57,173
CAL.R,69,43,60,172
SMA.R,54,64,54,172
MTG.R,73,38,51,162
TPOmid.R,53,55,48,156
CUN.L,72,34,49,155
REC.L,40,62,52,154
TPOmid.L,47,63,44,154
LING.L,56,50,45,151
INS.R,45,45,53,143
REC.R,31,70,42,143
STG.L,57,27,58,142
PoCG.L,46,41,55,142
PCL.L,38,66,36,140
CUN.R,62,30,46,138
STG.R,44,32,56,132
SFGmorb.L,25,65,38,128
DCG.R,42,40,43,125
TPOsup.R,32,53,40,125
SPG.R,37,37,50,124
MOG.R,50,25,47,122
ACG.L,24,57,34,115
DCG.L,41,31,41,113
FFG.L,52,23,32,107
FFG.R,49,18,39,106
SFGmed.R,35,39,31,105
LING.R,43,24,37,104
TPOsup.L,39,33,30,102
MFGorb.R,21,46,27,94
OLF.R,10,56,26,92
HES.R,1,90,1,92
MFG.R,33,20,33,86
MFGorb.L,28,29,29,86
ACG.R,23,36,23,82
ROL.R,27,16,35,78
SFGmorb.R,7,49,21,77
IPL.L,36,14,25,75
PHG.L,34,19,15,68
PHG.R,22,21,24,67
OLF.L,6,42,17,65
AMYG.L,15,35,11,61
SMG.R,29,8,22,59
ROL.L,16,12,28,56
IFGoper.R,17,17,20,54
IFGoper.L,19,15,19,53
PAL.R,12,22,18,52
MFG.L,26,13,13,52
IOG.R,30,5,14,49
PCL.R,9,26,10,45
IPL.R,20,7,16,43
AMYG.R,4,28,5,37
ANG.R,18,4,8,30
ANG.L,11,9,9,29
IOG.L,14,2,12,28
PCG.L,13,6,7,26
PCG.R,8,3,6,17
PAL.L,3,10,3,16
HES.L,2,11,2,15
SMG.L,5,1,4,10
