node,cc,bw,dg,sum
PCUN.R,89,90,90,269
PCUN.L,90,89,89,268
SPG.L,88,88,87,263
PUT.R,84,87,88,259
SFG.R,87,85,83,255
SPG.R,82,86,84,252
THA.L,85,81,85,251
SMA.L,86,84,80,250
TPOsup.L,78,83,78,239
SFGmed.L,81,82,76,239
SOG.L,71,80,86,237
SFG.L,83,79,73,235
PUT.L,72,77,81,230
SFGmed.R,77,78,75,230
SMA.R,80,74,72,226
THA.R,79,71,74,224
SOG.R,60,76,82,218
CAL.L,67,73,77,217
PoCG.L,75,72,68,215
MOG.L,61,75,70,206
PreCG.L,74,69,62,205
CUN.R,55,68,79,202
PoCG.R,68,65,60,193
TPOsup.R,62,67,63,192
CAL.R,50,62,71,183
SFGorb.L,73,58,52,183
PreCG.R,65,60,57,182
ITG.L,57,63,61,181
ITG.R,52,59,67,178
INS.R,54,66,58,178
STG.R,46,64,66,176
SFGmorb.L,59,70,47,176
MTG.R,43,61,69,173
SFGorb.R,76,54,42,172
INS.L,63,55,53,171
LING.L,47,53,65,165
STG.L,53,57,55,165
CAU.L,64,50,50,164
IFGorb.R,48,56,59,163
TPOmid.R,45,52,54,151
CUN.L,37,49,64,150
IFGorb.L,58,47,45,150
CAU.R,66,43,41,150
REC.L,69,48,32,149
LING.R,30,51,56,137
ACG.L,56,46,33,135
MTG.L,33,45,51,129
IFGtri.R,39,44,46,129
MFG.L,51,42,35,128
HIP.L,41,34,44,119
FFG.R,25,39,49,113
DCG.R,40,35,37,112
FFG.L,27,36,48,111
MFGorb.R,29,40,39,108
HIP.R,31,32,43,106
PHG.R,26,37,38,101
DCG.L,36,31,30,97
IFGtri.L,24,30,40,94
IPL.L,19,41,34,94
ACG.R,32,38,23,93
TPOmid.L,28,26,36,90
MFG.R,35,29,26,90
PCL.L,34,25,29,88
PHG.L,38,24,25,87
OLF.L,70,10,5,85
MFGorb.L,23,33,28,84
REC.R,42,22,10,74
MOG.R,13,27,31,71
SFGmorb.R,21,28,21,70
PAL.R,22,19,24,65
ANG.R,10,23,27,60
IFGoper.R,17,20,20,57
AMYG.R,49,4,4,57
ROL.R,15,18,22,55
OLF.R,44,5,2,51
ROL.L,14,21,15,50
IFGoper.L,12,16,17,45
IOG.L,8,17,18,43
AMYG.L,20,13,9,42
PCL.R,16,11,13,40
IPL.R,6,14,19,39
IOG.R,7,15,16,38
PCG.R,11,9,12,32
PAL.L,18,6,7,31
ANG.L,5,12,11,28
PCG.L,9,8,8,25
SMG.R,3,7,14,24
SMG.L,2,2,6,10
HES.L,4,3,3,10
HES.R,1,1,1,3
