node,Ki,Ci,bi,sum
PCUN.R,90,84,89,263
PCUN.L,89,83,90,262
PUT.R,88,86,88,262
THA.L,86,82,86,254
THA.R,81,89,84,254
SOG.R,87,67,87,241
CAU.R,71,87,81,239
PUT.L,85,64,85,234
SFGorb.R,77,75,82,234
SMA.L,80,74,77,231
CAU.L,67,85,75,227
PreCG.R,69,77,74,220
MOG.L,83,55,80,218
SOG.L,84,47,83,214
MTG.R,79,56,79,214
PoCG.R,63,72,76,211
SFGmed.L,75,60,68,203
HIP.R,76,53,71,200
INS.L,74,65,61,200
SPG.L,65,54,78,197
PreCG.L,70,50,66,186
REC.L,38,73,73,184
CUN.R,82,36,60,178
MTG.L,78,46,53,177
IFGtri.R,57,49,70,176
SFG.L,53,61,62,176
REC.R,41,70,64,175
ITG.L,73,44,57,174
ITG.R,66,43,63,172
TPOmid.L,54,66,51,171
TPOmid.R,33,80,56,169
SFGorb.L,50,59,59,168
PCL.L,47,71,50,168
MFG.R,49,52,65,166
MFG.L,62,26,72,160
SFG.R,46,69,45,160
STG.R,40,58,58,156
STG.L,64,38,54,156
SFGmorb.R,32,78,46,156
IFGtri.L,61,27,67,155
PoCG.L,51,31,69,151
SPG.R,35,68,47,150
DCG.R,56,45,48,149
SMA.R,59,48,36,143
FFG.R,48,35,55,138
MOG.R,58,28,52,138
CAL.R,68,25,42,135
TPOsup.L,44,41,49,134
CUN.L,72,17,43,132
HIP.L,55,34,39,128
SFGmed.R,42,42,41,125
INS.R,37,51,35,123
DCG.L,45,33,44,122
AMYG.R,5,90,27,122
CAL.L,60,21,37,118
TPOsup.R,27,57,30,114
IFGorb.R,39,40,34,113
MFGorb.R,6,88,14,108
SFGmorb.L,28,39,40,107
FFG.L,43,20,38,101
PHG.R,8,76,17,101
IFGorb.L,52,16,32,100
ACG.L,31,32,31,94
AMYG.L,15,62,15,92
HES.L,7,79,6,92
LING.L,36,18,33,87
HES.R,1,81,1,83
OLF.R,22,29,28,79
ANG.R,30,24,25,79
IPL.L,34,13,29,76
PCL.R,23,30,18,71
PAL.R,4,63,3,70
IPL.R,25,19,22,66
LING.R,29,11,24,64
SMG.R,24,14,23,61
MFGorb.L,16,23,19,58
PHG.L,10,37,7,54
ACG.R,17,15,21,53
ANG.L,21,4,26,51
IFGoper.L,20,9,16,45
ROL.R,26,7,12,45
PCG.R,11,10,20,41
IOG.R,19,6,9,34
ROL.L,18,2,13,33
OLF.L,3,22,4,29
IOG.L,14,1,11,26
PCG.L,12,8,5,25
IFGoper.R,9,5,10,24
SMG.L,13,3,8,24
PAL.L,2,12,2,16
